variable_type,variable,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
age_v2,0 to 17,NA,NA,NA,NA,NA,NA,323.00,374,400,495,543,591,619,714,748,803,881,988,1077,1124,1204,1374
age_v2,18 to 44,NA,NA,NA,NA,NA,NA,5704.00,6786,7556,10145,11617,13213,14233,16028,17038,18463,20313,22434,23952,24994,26716,28830
age_v2,45 to 64,NA,NA,NA,NA,NA,NA,4069.00,4906,5619,7869,9158,10596,11577,13344,14395,15818,17497,19971,21644,22694,24627,26755
age_v2,65 to 74,NA,NA,NA,NA,NA,NA,1308.00,1591,1843,2627,3034,3571,3954,4496,4883,5484,6095,7064,7716,8097,8749,9472
age_v2,75 and over,NA,NA,NA,NA,NA,NA,930.00,1109,1360,1935,2286,2724,3020,3410,3739,4241,4811,5709,6337,6722,7345,8007
age_v2,unknown,NA,NA,NA,NA,NA,NA,5.00,10,10,41,59,70,71,95,97,106,110,123,124,136,135,163
age,0 to 4,0,5,14,26,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,5 to 17,25,42,94,131,189,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,18 to 49,457,1034,2117,3080,4456,4456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,50 to 64,211,463,926,1330,1929,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,65 and over,230,464,800,1112,1502,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,unknown,0,1,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age 50 and over,yes,NA,927,1726,2442,3431,3431,5237.00,6341,7385,10452,12209,14279,15706,17958,19481,21655,24129,27939,30528,32113,34868,37871
age 50 and over,no,NA,1081,2225,3237,4679,4679,7097.00,8425,9393,12619,14429,16416,17697,20034,21322,23154,25468,28227,30198,31518,33773,36567
age 50 and over,unknown,NA,1,3,4,5,5,NA,NA,NA,41,59,70,71,95,97,106,110,123,124,136,135,163
sex,female,378,850,1630,2317,3318,3318,5255.00,6374,7303,10124,11792,13592,14837,16920,18264,20144,22485,25536,27660,29037,31319,34118
sex,male,536,1155,2315,3355,4787,4787,7067.00,8379,9640,12948,14863,17133,18593,21120,22587,24715,27155,30672,33100,34640,37361,40323
sex,unknown,9,4,9,11,10,10,17.00,23,25,40,42,40,44,47,49,56,67,81,90,90,96,160
borough,Bronx,106,303,496,736,1071,1071,1829.00,2328,2789,4243,4880,5752,6250,6925,7625,8398,9343,10765,11820,12467,13680,14941
borough,Brooklyn,236,505,1195,1740,2484,2484,3494.00,4237,4656,6095,7091,8129,8887,10171,10904,12076,13290,15327,16488,17257,18434,20235
borough,Manhattan,290,590,1038,1402,1863,1863,2572.00,2887,3187,4046,4627,5237,5582,6060,6446,6960,7398,8222,8781,9135,9691,10254
borough,Queens,248,533,1042,1514,2254,2254,3621.00,4364,5066,7362,8529,9831,10737,12756,13576,14966,16819,18823,20371,21342,23083,24809
borough,Staten Island,42,77,179,285,437,437,817.00,953,1084,1330,1534,1781,1984,2140,2314,2480,2822,3117,3355,3530,3851,4325
borough,unknown,1,1,4,6,6,6,6.00,7,6,36,36,35,34,35,35,35,35,35,35,36,37,37
deaths,deaths,10,19,26,43,60,60,99.00,131,199,365,450,672,776,914,932,1139,1562,1867,2254,2256,2738,3544
total confirmed cases,total,923,2009,3954,5683,8115,8115,12339.00,14776,16788,23112,26697,30765,33474,38087,40900,44915,49707,56289,60850,63767,68776,74601
check total age,total,923,2009,3954,5683,8115,8115,12339.00,14776,16788,23112,26697,30765,33474,38087,40900,44915,49707,56289,60850,63767,68776,74601
chack total age 50 and over,total,NA,2009,3954,5683,8115,8115,12334.00,14766,16778,23112,26697,30765,33474,38087,40900,44915,49707,56289,60850,63767,68776,74601
check total sex,total,923,2009,3954,5683,8115,8115,12339.00,14776,16968,23112,26697,30765,33474,38087,40900,44915,49707,56289,60850,63767,68776,74601
check total borough,total,923,2009,3954,5683,8115,8115,12339.00,14776,16788,23112,26697,30765,33474,38087,40900,44915,49707,56289,60850,63767,68776,74601